timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750740161826,285,Auth,200,OK,Usuarios-Auth 1-1,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,285,0,2
1750740162133,255,Auth,200,OK,Usuarios-Auth 1-2,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,0
1750740162431,257,Auth,200,OK,Usuarios-Auth 1-3,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740162733,255,Auth,200,OK,Usuarios-Auth 1-4,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740163032,264,Auth,200,OK,Usuarios-Auth 1-5,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,264,0,6
1750740163332,255,Auth,200,OK,Usuarios-Auth 1-6,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,0
1750740163633,257,Auth,200,OK,Usuarios-Auth 1-7,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740163932,255,Auth,200,OK,Usuarios-Auth 1-8,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,0
1750740164234,274,Auth,200,OK,Usuarios-Auth 1-9,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,274,0,0
1750740164532,260,Auth,200,OK,Usuarios-Auth 1-10,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,260,0,1
1750740164833,256,Auth,200,OK,Usuarios-Auth 1-11,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740165130,256,Auth,200,OK,Usuarios-Auth 1-12,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,0
1750740165430,258,Auth,200,OK,Usuarios-Auth 1-13,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,0
1750740165731,257,Auth,200,OK,Usuarios-Auth 1-14,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740166029,252,Auth,200,OK,Usuarios-Auth 1-15,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,252,0,1
1750740166332,256,Auth,200,OK,Usuarios-Auth 1-16,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740166631,257,Auth,200,OK,Usuarios-Auth 1-17,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740166929,260,Auth,200,OK,Usuarios-Auth 1-18,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,260,0,1
1750740167231,259,Auth,200,OK,Usuarios-Auth 1-19,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,259,0,1
1750740167531,258,Auth,200,OK,Usuarios-Auth 1-20,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,1
1750740167830,256,Auth,200,OK,Usuarios-Auth 1-21,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740168134,259,Auth,200,OK,Usuarios-Auth 1-22,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,259,0,1
1750740168429,257,Auth,200,OK,Usuarios-Auth 1-23,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740168734,256,Auth,200,OK,Usuarios-Auth 1-24,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,0
1750740169031,257,Auth,200,OK,Usuarios-Auth 1-25,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740169334,257,Auth,200,OK,Usuarios-Auth 1-26,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740169632,253,Auth,200,OK,Usuarios-Auth 1-27,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,253,0,1
1750740169936,255,Auth,200,OK,Usuarios-Auth 1-28,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740170228,254,Auth,200,OK,Usuarios-Auth 1-29,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,254,0,0
1750740170532,259,Auth,200,OK,Usuarios-Auth 1-30,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,259,0,3
1750740170831,258,Auth,200,OK,Usuarios-Auth 1-31,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,1
1750740171131,259,Auth,200,OK,Usuarios-Auth 1-32,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,259,0,1
1750740171431,256,Auth,200,OK,Usuarios-Auth 1-33,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740171729,255,Auth,200,OK,Usuarios-Auth 1-34,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740172032,257,Auth,200,OK,Usuarios-Auth 1-35,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,0
1750740172330,254,Auth,200,OK,Usuarios-Auth 1-36,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,254,0,0
1750740172632,257,Auth,200,OK,Usuarios-Auth 1-37,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,0
1750740172934,256,Auth,200,OK,Usuarios-Auth 1-38,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,0
1750740173235,253,Auth,200,OK,Usuarios-Auth 1-39,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,253,0,1
1750740173531,266,Auth,200,OK,Usuarios-Auth 1-40,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,266,0,2
1750740173831,252,Auth,200,OK,Usuarios-Auth 1-41,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,252,0,0
1750740174135,256,Auth,200,OK,Usuarios-Auth 1-42,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740174433,258,Auth,200,OK,Usuarios-Auth 1-43,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,0
1750740174733,255,Auth,200,OK,Usuarios-Auth 1-44,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740175030,255,Auth,200,OK,Usuarios-Auth 1-45,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740175333,256,Auth,200,OK,Usuarios-Auth 1-46,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740175633,258,Auth,200,OK,Usuarios-Auth 1-47,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,1
1750740175932,255,Auth,200,OK,Usuarios-Auth 1-48,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740176231,255,Auth,200,OK,Usuarios-Auth 1-49,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,0
1750740176532,255,Auth,200,OK,Usuarios-Auth 1-50,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740176832,256,Auth,200,OK,Usuarios-Auth 1-51,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,0
1750740177133,257,Auth,200,OK,Usuarios-Auth 1-52,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740177432,262,Auth,200,OK,Usuarios-Auth 1-53,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,262,0,1
1750740177731,257,Auth,200,OK,Usuarios-Auth 1-54,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,0
1750740178032,261,Auth,200,OK,Usuarios-Auth 1-55,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,261,0,3
1750740178330,255,Auth,200,OK,Usuarios-Auth 1-56,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,0
1750740178634,262,Auth,200,OK,Usuarios-Auth 1-57,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,262,0,3
1750740178931,257,Auth,200,OK,Usuarios-Auth 1-58,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,0
1750740179230,258,Auth,200,OK,Usuarios-Auth 1-59,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,1
1750740179532,259,Auth,200,OK,Usuarios-Auth 1-60,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,259,0,1
1750740179832,259,Auth,200,OK,Usuarios-Auth 1-61,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,259,0,1
1750740180131,425,Auth,200,OK,Usuarios-Auth 1-62,text,true,,407,233,2,2,http://localhost:8000/api-token-auth/,425,0,1
1750740180431,432,Auth,200,OK,Usuarios-Auth 1-63,text,true,,407,233,2,2,http://localhost:8000/api-token-auth/,432,0,0
1750740180730,414,Auth,200,OK,Usuarios-Auth 1-64,text,true,,407,233,2,2,http://localhost:8000/api-token-auth/,414,0,1
1750740181031,376,Auth,200,OK,Usuarios-Auth 1-65,text,true,,407,233,2,2,http://localhost:8000/api-token-auth/,376,0,1
1750740181334,302,Auth,200,OK,Usuarios-Auth 1-66,text,true,,407,233,2,2,http://localhost:8000/api-token-auth/,302,0,1
1750740181632,259,Auth,200,OK,Usuarios-Auth 1-67,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,259,0,0
1750740181931,256,Auth,200,OK,Usuarios-Auth 1-68,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740182234,256,Auth,200,OK,Usuarios-Auth 1-69,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740182533,257,Auth,200,OK,Usuarios-Auth 1-70,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,0
1750740182836,266,Auth,200,OK,Usuarios-Auth 1-71,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,266,0,1
1750740183133,257,Auth,200,OK,Usuarios-Auth 1-72,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,0
1750740183436,257,Auth,200,OK,Usuarios-Auth 1-73,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740183732,258,Auth,200,OK,Usuarios-Auth 1-74,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,1
1750740184029,257,Auth,200,OK,Usuarios-Auth 1-75,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,1
1750740184335,258,Auth,200,OK,Usuarios-Auth 1-76,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,1
1750740184634,257,Auth,200,OK,Usuarios-Auth 1-77,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,4
1750740184932,253,Auth,200,OK,Usuarios-Auth 1-78,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,253,0,0
1750740185234,257,Auth,200,OK,Usuarios-Auth 1-79,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,0
1750740185532,256,Auth,200,OK,Usuarios-Auth 1-80,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740185834,258,Auth,200,OK,Usuarios-Auth 1-81,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,1
1750740186135,256,Auth,200,OK,Usuarios-Auth 1-82,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740186433,254,Auth,200,OK,Usuarios-Auth 1-83,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,254,0,0
1750740186734,256,Auth,200,OK,Usuarios-Auth 1-84,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740187032,254,Auth,200,OK,Usuarios-Auth 1-85,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,254,0,1
1750740187332,255,Auth,200,OK,Usuarios-Auth 1-86,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,0
1750740187633,262,Auth,200,OK,Usuarios-Auth 1-87,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,262,0,3
1750740187937,256,Auth,200,OK,Usuarios-Auth 1-88,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740188235,256,Auth,200,OK,Usuarios-Auth 1-89,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740188533,258,Auth,200,OK,Usuarios-Auth 1-90,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,258,0,3
1750740188832,254,Auth,200,OK,Usuarios-Auth 1-91,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,254,0,1
1750740189133,260,Auth,200,OK,Usuarios-Auth 1-92,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,260,0,4
1750740189432,253,Auth,200,OK,Usuarios-Auth 1-93,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,253,0,0
1750740189733,256,Auth,200,OK,Usuarios-Auth 1-94,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,256,0,1
1750740190033,255,Auth,200,OK,Usuarios-Auth 1-95,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740190333,260,Auth,200,OK,Usuarios-Auth 1-96,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,260,0,1
1750740190634,257,Auth,200,OK,Usuarios-Auth 1-97,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,257,0,2
1750740190932,262,Auth,200,OK,Usuarios-Auth 1-98,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,262,0,1
1750740191234,255,Auth,200,OK,Usuarios-Auth 1-99,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,255,0,1
1750740191534,252,Auth,200,OK,Usuarios-Auth 1-100,text,true,,407,233,1,1,http://localhost:8000/api-token-auth/,252,0,1
